start_block,source_lat,source_long,end_block,dest_lat,dest_long,distance,time
325032,37.80579612,-122.4127962,681252,37.80595605,-122.4152811,279,69
325032,37.80579612,-122.4127962,681261,37.80677077,-122.4155864,372,106
325032,37.80579612,-122.4127962,681262,37.80686431,-122.4154657,381,108
325032,37.80579612,-122.4127962,681271,37.8076901,-122.4157685,476,147
325032,37.80579612,-122.4127962,681272,37.80774593,-122.4156437,480,149
325032,37.80579612,-122.4127962,847001,37.80846158,-122.4133791,458,167
325032,37.80579612,-122.4127962,847011,37.80825991,-122.415,459,197
325032,37.80579612,-122.4127962,847021,37.80806226,-122.4166063,610,204
325032,37.80579612,-122.4127962,847031,37.80784802,-122.418275,822,203
325032,37.80579612,-122.4127962,847032,37.80791541,-122.4185888,799,196
325032,37.80579612,-122.4127962,847041,37.80767803,-122.4196671,804,201
325032,37.80579612,-122.4127962,847042,37.80775397,-122.4197853,813,203
325032,37.80579612,-122.4127962,847052,37.80760209,-122.4211753,898,221
325041,37.8054486,-122.4143769,325031,37.80565077,-122.4127691,143,23
325041,37.8054486,-122.4143769,325032,37.80579612,-122.4127962,143,24
325041,37.8054486,-122.4143769,325041,37.8054486,-122.4143769,0,0
325041,37.8054486,-122.4143769,325042,37.80560853,-122.4142738,12,2
325041,37.8054486,-122.4143769,325052,37.80538171,-122.4161215,153,26
325041,37.8054486,-122.4143769,326022,37.80764233,-122.4131553,355,115
325041,37.8054486,-122.4143769,326032,37.8074316,-122.4147983,349,120
325041,37.8054486,-122.4143769,326042,37.80722541,-122.4164831,362,123
325041,37.8054486,-122.4143769,326052,37.8070172,-122.41811,578,144
325041,37.8054486,-122.4143769,326061,37.80664454,-122.4201217,575,135
325041,37.8054486,-122.4143769,326062,37.80684068,-122.4194976,532,131
325041,37.8054486,-122.4143769,326071,37.8064826,-122.4213478,684,169
325041,37.8054486,-122.4143769,326072,37.80659877,-122.4215404,699,172
325041,37.8054486,-122.4143769,326081,37.80627288,-122.4229969,833,212
325041,37.8054486,-122.4143769,326082,37.80639308,-122.4230547,833,212
325041,37.8054486,-122.4143769,363121,37.80554717,-122.4179204,323,69
325041,37.8054486,-122.4143769,363122,37.80575588,-122.4179054,337,72
325041,37.8054486,-122.4143769,363131,37.80635184,-122.4191068,460,105
325041,37.8054486,-122.4143769,363132,37.80660028,-122.4191531,481,109
325041,37.8054486,-122.4143769,472281,37.8071555,-122.4207383,669,166
325041,37.8054486,-122.4143769,502262,37.80570811,-122.4169221,276,74
325041,37.8054486,-122.4143769,502271,37.80661034,-122.417237,379,112
325041,37.8054486,-122.4143769,502282,37.80742708,-122.4172631,470,146
325041,37.8054486,-122.4143769,542301,37.80598019,-122.4221721,822,180
325041,37.8054486,-122.4143769,542302,37.8060169,-122.4220439,826,181
325041,37.8054486,-122.4143769,546271,37.8060858,-122.4188171,672,183
325041,37.8054486,-122.4143769,546272,37.80659525,-122.418788,471,111
325041,37.8054486,-122.4143769,546273,37.80663197,-122.4189288,477,112
325041,37.8054486,-122.4143769,546281,37.80733253,-122.4190696,555,140
325041,37.8054486,-122.4143769,546282,37.80707856,-122.4188845,525,131
325041,37.8054486,-122.4143769,562231,37.80542547,-122.4136431,93,23
325041,37.8054486,-122.4143769,562241,37.80607272,-122.4137558,118,30
325041,37.8054486,-122.4143769,562242,37.80603903,-122.413613,112,29
325041,37.8054486,-122.4143769,562252,37.80702625,-122.4138161,224,71
325041,37.8054486,-122.4143769,562261,37.80786914,-122.4141194,320,124
325041,37.8054486,-122.4143769,562262,37.8079652,-122.4140042,329,128
325041,37.8054486,-122.4143769,585012,37.80714896,-122.4095605,549,119
325041,37.8054486,-122.4143769,585022,37.80694126,-122.4112306,403,96
325041,37.8054486,-122.4143769,585031,37.80660179,-122.4128641,257,73
325041,37.8054486,-122.4143769,585032,37.80672601,-122.4129652,250,72
325041,37.8054486,-122.4143769,585041,37.80638202,-122.4145962,246,72
325041,37.8054486,-122.4143769,585042,37.80649517,-122.4147837,261,75
325041,37.8054486,-122.4143769,585051,37.80618035,-122.41621,251,92
325041,37.8054486,-122.4143769,585052,37.80630507,-122.4163066,257,93
325041,37.8054486,-122.4143769,585061,37.80598169,-122.4178118,359,81
325041,37.8054486,-122.4143769,585092,37.80545916,-122.4228314,780,183
325041,37.8054486,-122.4143769,612311,37.80590978,-122.4238599,983,198
325041,37.8054486,-122.4143769,612312,37.80577147,-122.4236748,966,194
325041,37.8054486,-122.4143769,616231,37.80621052,-122.4121047,251,57
325041,37.8054486,-122.4143769,616241,37.80721334,-122.4123079,368,92
325041,37.8054486,-122.4143769,616242,37.80697697,-122.4121077,340,85
325041,37.8054486,-122.4143769,664232,37.80733504,-122.4105069,504,126
325041,37.8054486,-122.4143769,681251,37.80587457,-122.4154028,128,44
325041,37.8054486,-122.4143769,681252,37.80595605,-122.4152811,135,46
325041,37.8054486,-122.4143769,681261,37.80677077,-122.4155864,229,83
325041,37.8054486,-122.4143769,681262,37.80686431,-122.4154657,238,85
325041,37.8054486,-122.4143769,681271,37.8076901,-122.4157685,332,124
325041,37.8054486,-122.4143769,681272,37.80774593,-122.4156437,337,126
325041,37.8054486,-122.4143769,847001,37.80846158,-122.4133791,601,190
325041,37.8054486,-122.4143769,847011,37.80825991,-122.415,464,175
325041,37.8054486,-122.4143769,847021,37.80806226,-122.4166063,466,181
325041,37.8054486,-122.4143769,847031,37.80784802,-122.418275,678,180
325041,37.8054486,-122.4143769,847032,37.80791541,-122.4185888,655,173
325041,37.8054486,-122.4143769,847041,37.80767803,-122.4196671,660,178
325041,37.8054486,-122.4143769,847042,37.80775397,-122.4197853,669,180
325041,37.8054486,-122.4143769,847052,37.80760209,-122.4211753,755,199
325042,37.80560853,-122.4142738,325031,37.80565077,-122.4127691,131,22
325042,37.80560853,-122.4142738,325032,37.80579612,-122.4127962,131,22
325042,37.80560853,-122.4142738,325041,37.8054486,-122.4143769,12,2
325042,37.80560853,-122.4142738,325042,37.80560853,-122.4142738,0,0
325042,37.80560853,-122.4142738,325052,37.80538171,-122.4161215,164,28
325042,37.80560853,-122.4142738,326022,37.80764233,-122.4131553,343,113
325042,37.80560853,-122.4142738,326032,37.8074316,-122.4147983,338,118
325042,37.80560853,-122.4142738,326042,37.80722541,-122.4164831,374,124
325042,37.80560853,-122.4142738,326052,37.8070172,-122.41811,589,145
325042,37.80560853,-122.4142738,326061,37.80664454,-122.4201217,587,137
325042,37.80560853,-122.4142738,326062,37.80684068,-122.4194976,544,132
325042,37.80560853,-122.4142738,326071,37.8064826,-122.4213478,696,171
325042,37.80560853,-122.4142738,326072,37.80659877,-122.4215404,711,174
325042,37.80560853,-122.4142738,326081,37.80627288,-122.4229969,845,213
325042,37.80560853,-122.4142738,326082,37.80639308,-122.4230547,845,213
325042,37.80560853,-122.4142738,363121,37.80554717,-122.4179204,334,71
325042,37.80560853,-122.4142738,363122,37.80575588,-122.4179054,348,74
325042,37.80560853,-122.4142738,363131,37.80635184,-122.4191068,472,106
325042,37.80560853,-122.4142738,363132,37.80660028,-122.4191531,493,111
325042,37.80560853,-122.4142738,472281,37.8071555,-122.4207383,681,168
325042,37.80560853,-122.4142738,502262,37.80570811,-122.4169221,288,76
325042,37.80560853,-122.4142738,502271,37.80661034,-122.417237,391,113
325042,37.80560853,-122.4142738,502282,37.80742708,-122.4172631,481,147
325042,37.80560853,-122.4142738,542301,37.80598019,-122.4221721,834,181
325042,37.80560853,-122.4142738,542302,37.8060169,-122.4220439,838,182
325042,37.80560853,-122.4142738,546271,37.8060858,-122.4188171,684,185
325042,37.80560853,-122.4142738,546272,37.80659525,-122.418788,483,112
325042,37.80560853,-122.4142738,546273,37.80663197,-122.4189288,488,114
325042,37.80560853,-122.4142738,546281,37.80733253,-122.4190696,567,142
325042,37.80560853,-122.4142738,546282,37.80707856,-122.4188845,537,133
325042,37.80560853,-122.4142738,562231,37.80542547,-122.4136431,81,21
325042,37.80560853,-122.4142738,562241,37.80607272,-122.4137558,106,29
325042,37.80560853,-122.4142738,562242,37.80603903,-122.413613,101,27
325042,37.80560853,-122.4142738,562252,37.80702625,-122.4138161,212,70
325042,37.80560853,-122.4142738,562261,37.80786914,-122.4141194,309,123
325042,37.80560853,-122.4142738,562262,37.8079652,-122.4140042,318,126
325042,37.80560853,-122.4142738,585012,37.80714896,-122.4095605,538,117
325042,37.80560853,-122.4142738,585022,37.80694126,-122.4112306,391,94
325042,37.80560853,-122.4142738,585031,37.80660179,-122.4128641,245,71
325042,37.80560853,-122.4142738,585032,37.80672601,-122.4129652,238,70
325042,37.80560853,-122.4142738,585041,37.80638202,-122.4145962,235,70
325042,37.80560853,-122.4142738,585042,37.80649517,-122.4147837,249,73
325042,37.80560853,-122.4142738,585051,37.80618035,-122.41621,263,94
325042,37.80560853,-122.4142738,585052,37.80630507,-122.4163066,269,95
325042,37.80560853,-122.4142738,585061,37.80598169,-122.4178118,370,83
325042,37.80560853,-122.4142738,585092,37.80545916,-122.4228314,792,185
325042,37.80560853,-122.4142738,612311,37.80590978,-122.4238599,995,199
325042,37.80560853,-122.4142738,612312,37.80577147,-122.4236748,977,195
325042,37.80560853,-122.4142738,616231,37.80621052,-122.4121047,239,55
325042,37.80560853,-122.4142738,616241,37.80721334,-122.4123079,357,90
325042,37.80560853,-122.4142738,616242,37.80697697,-122.4121077,328,83
325042,37.80560853,-122.4142738,664232,37.80733504,-122.4105069,492,124
325042,37.80560853,-122.4142738,681251,37.80587457,-122.4154028,140,46
325042,37.80560853,-122.4142738,681252,37.80595605,-122.4152811,147,48
325042,37.80560853,-122.4142738,681261,37.80677077,-122.4155864,241,84
325042,37.80560853,-122.4142738,681262,37.80686431,-122.4154657,250,87
325042,37.80560853,-122.4142738,681271,37.8076901,-122.4157685,344,126
325042,37.80560853,-122.4142738,681272,37.80774593,-122.4156437,349,127
325042,37.80560853,-122.4142738,847001,37.80846158,-122.4133791,589,188
325042,37.80560853,-122.4142738,847011,37.80825991,-122.415,476,177
325042,37.80560853,-122.4142738,847021,37.80806226,-122.4166063,478,182
325042,37.80560853,-122.4142738,847031,37.80784802,-122.418275,690,181
325042,37.80560853,-122.4142738,847032,37.80791541,-122.4185888,667,175
325042,37.80560853,-122.4142738,847041,37.80767803,-122.4196671,672,179
325042,37.80560853,-122.4142738,847042,37.80775397,-122.4197853,681,181
325042,37.80560853,-122.4142738,847052,37.80760209,-122.4211753,767,200
325052,37.80538171,-122.4161215,325031,37.80565077,-122.4127691,296,47
