block_id,node_id,distance,time
325041,7040,609,440
325042,7001,920,683
325042,7002,868,680
325042,7003,821,682
325042,7004,818,622
325042,7005,773,581
325042,7006,722,580
325042,7007,675,586
325042,7008,867,647
325042,7009,723,554
325042,7010,626,479
325042,7011,576,473
325042,7012,528,474
325042,7013,677,498
325042,7014,621,457
325042,7015,517,386
325042,7016,431,338
325042,7017,439,387
325042,7018,383,342
325042,7019,550,398
325042,7020,445,325
325042,7021,341,254
325042,7022,235,176
325042,7023,406,294
325042,7024,300,219
325042,7025,195,145
325042,7026,90,65
325042,7027,373,270
325042,7028,267,194
325042,7029,163,120
325042,7030,57,41
325042,7031,109,84
325042,7032,513,372
325042,7033,413,300
325042,7034,308,226
325042,7035,202,146
325042,7036,560,406
325042,7037,454,331
325042,7038,349,255
325042,7039,704,510
325042,7040,597,431
325052,7001,755,561
325052,7002,704,558
325052,7003,657,560
325052,7004,654,500
325052,7005,609,459
325052,7006,558,458
325052,7007,511,464
325052,7008,702,525
325052,7009,559,432
325052,7010,462,357
325052,7011,412,351
325052,7012,363,352
325052,7013,513,376
325052,7014,456,335
325052,7015,353,264
325052,7016,267,216
325052,7017,275,266
325052,7018,219,220
325052,7019,386,276
325052,7020,281,203
325052,7021,176,132
325052,7022,70,54
325052,7023,391,280
325052,7024,285,205
325052,7025,180,131
325052,7026,75,51
325052,7027,537,386
325052,7028,432,310
325052,7029,327,236
325052,7030,222,157
325052,7031,273,200
325052,7032,678,488
325052,7033,577,416
325052,7034,472,342
325052,7035,367,262
325052,7036,724,522
325052,7037,618,447
325052,7038,513,371
325052,7039,869,626
325052,7040,761,547
326022,7001,955,701
326022,7002,1061,811
326022,7003,1167,914
326022,7004,859,620
326022,7005,808,599
326022,7006,913,711
326022,7007,1020,822
326022,7008,902,665
326022,7009,764,552
326022,7010,661,497
326022,7011,765,603
326022,7012,870,709
326022,7013,675,488
326022,7014,618,447
326022,7015,514,376
326022,7016,621,468
326022,7017,669,518
326022,7018,725,577
326022,7019,464,336
326022,7020,368,268
326022,7021,470,345
326022,7022,579,428
326022,7023,328,237
326022,7024,222,162
326022,7025,327,238
326022,7026,432,315
326022,7027,181,131
326022,7028,76,55
326022,7029,180,132
326022,7030,286,209
326022,7031,337,257
326022,7032,171,123
326022,7033,71,51
326022,7034,176,129
326022,7035,281,206
326022,7036,216,155
326022,7037,322,234
326022,7038,427,314
326022,7039,362,261
326022,7040,467,336
326032,7001,808,594
326032,7002,915,704
326032,7003,1020,807
326032,7004,713,513
326032,7005,662,492
326032,7006,768,608
326032,7007,874,715
326032,7008,755,558
326032,7009,618,445
326032,7010,515,390
326032,7011,619,496
326032,7012,724,602
326032,7013,529,381
326032,7014,472,340
326032,7015,368,269
326032,7016,474,361
326032,7017,523,412
326032,7018,579,470
326032,7019,318,229
326032,7020,222,161
326032,7021,324,239
326032,7022,433,321
326032,7023,181,130
326032,7024,75,55
326032,7025,180,131
326032,7026,286,208
326032,7027,176,127
326032,7028,70,51
326032,7029,175,128
326032,7030,280,205
326032,7031,332,253
326032,7032,317,229
326032,7033,217,157
326032,7034,322,233
326032,7035,428,312
326032,7036,362,261
326032,7037,467,338
326032,7038,573,420
326032,7039,508,367
326032,7040,610,439
326042,7001,659,485
326042,7002,765,595
326042,7003,871,698
326042,7004,563,404
326042,7005,512,383
326042,7006,618,499
326042,7007,724,606
326042,7008,606,449
326042,7009,468,336
326042,7010,365,281
326042,7011,469,387
326042,7012,574,493
326042,7013,379,272
326042,7014,322,231
326042,7015,218,160
326042,7016,325,252
326042,7017,373,303
326042,7018,429,361
326042,7019,168,120
326042,7020,72,52
326042,7021,174,130
326042,7022,283,212
326042,7023,180,128
326042,7024,74,53
326042,7025,179,129
326042,7026,284,206
326042,7027,325,234
326042,7028,220,158
326042,7029,325,235
326042,7030,430,312
326042,7031,482,360
326042,7032,467,336
326042,7033,367,264
326042,7034,472,340
326042,7035,577,419
326042,7036,512,368
326042,7037,617,445
326042,7038,723,527
326042,7039,658,474
326042,7040,759,546
326052,7001,513,378
326052,7002,619,488
326052,7003,725,591
326052,7004,415,295
326052,7005,366,276
326052,7006,473,392
326052,7007,579,499
326052,7008,456,325
326052,7009,320,227
326052,7010,219,174
326052,7011,323,280
326052,7012,429,386
326052,7013,233,165
326052,7014,172,121
326052,7015,72,53
326052,7016,179,145
326052,7017,227,196
326052,7018,283,254
326052,7019,180,126
326052,7020,74,51
326052,7021,176,129
326052,7022,285,211
326052,7023,327,232
326052,7024,220,155
326052,7025,325,231
326052,7026,430,308
326052,7027,471,336
326052,7028,366,260
326052,7029,471,337
326052,7030,576,414
326052,7031,627,462
326052,7032,617,441
326052,7033,512,366
326052,7034,617,442
326052,7035,723,521
326052,7036,658,470
326052,7037,763,547
326052,7038,869,629
